date,source,country_or_region,media_type,candidate_scope,headline,observed_frame,frame_notes,content_type,stance_toward_candidates,url
2026-06-01,Wall Street Journal,United States,international_business_press,AMBOS,The High Stakes in Colombia's Presidential Runoff,security_market_anti_petro,"Treats the runoff as a choice over security, investment and continuity of the Petro government.",editorial_opinion,more_favourable_to_de_la_espriella,https://www.wsj.com/opinion/colombia-election-abelardo-de-la-espriella-ivan-cepeda-d516afec
2026-06-01,Wall Street Journal,United States,international_business_press,AMBOS,"Right-Wing Firebrand Surges Into Colombia Runoff, Shaking Political Establishment",security_market_anti_petro,"Emphasises armed groups, cocaine trafficking, investment and voter rejection of the government.",news_analysis,mixed_with_security_emphasis,https://www.wsj.com/world/americas/colombia-election-results-d920ce6e
2026-06-14,Wall Street Journal,United States,international_business_press,AMBOS,Colombia's Stark Election Choice,security_market_anti_petro,Editorial framing of the runoff as a stark ideological and institutional choice.,editorial_opinion,more_favourable_to_de_la_espriella,https://www.wsj.com/opinion/colombias-stark-election-choice-29adc737
2026-06-01,Fox News,United States,international_tv_digital,De la Espriella,Anti-cartel candidate 'The Tiger' channels Trump and Bukele in Colombia election shocker,security_market_anti_petro,"Frames De la Espriella as a security-first, anti-cartel candidate aligned with US interests.",news_feature,favourable_to_de_la_espriella,https://www.foxnews.com/world/anti-cartel-candidate-the-tiger-channels-trump-bukele-colombia-election-shocker
2026-06-10,Fox News,United States,international_tv_digital,Cepeda,Colombian lawmakers seek suspension of Trump foe Gustavo Petro over alleged meddling,security_market_anti_petro,Centres allegations of government interference and links Cepeda to Petro's political project.,news_report,critical_of_cepeda_petro,https://www.foxnews.com/world/colombian-lawmakers-seek-suspension-trump-foe-gustavo-petro-alleged-meddling-upcoming-election
2026-06-01,Financial Times,United Kingdom,international_financial_press,AMBOS,Populist 'Tiger' to face leftist in Colombia presidential run-off,economic_market,Contrasts market-oriented and state-expanding economic programmes.,news_analysis,mixed,https://www.ft.com/content/a4964a51-893f-43ca-aa45-fe40c4beecbe
2026-06-05,Financial Times,United Kingdom,international_financial_press,De la Espriella,Bond investors bet Colombia's 'Tiger' will slash public spending,economic_market,"Focuses on investor expectations, fiscal adjustment and state reduction.",financial_analysis,market_favourable_to_de_la_espriella,https://www.ft.com/content/62b6b2c4-5d7a-4992-94bb-2c7c080b7e55
2026-05-31,Al Jazeera,Qatar / International,international_tv_digital,AMBOS,"Cepeda, de la Espriella advance in Colombia's presidential election",social_rights_progressive,Frames the contest as left versus far right and foregrounds political polarisation.,news_report,mixed_with_left_right_labels,https://www.aljazeera.com/news/2026/5/31/cepeda-de-la-espriella-advance-in-colombias-presidential-election
2026-06-01,Al Jazeera,Qatar / International,international_tv_video,De la Espriella,Colombia's outsider candidate defied the polls,social_rights_progressive,Explains outsider mobilisation and public dissatisfaction while questioning conventional polling.,video_analysis,mixed,https://www.aljazeera.com/video/newsfeed/2026/6/1/aje-onl-nf_qt_guest-jorge-restrepo_colombia-elections-310526
2026-06-01,The Guardian,United Kingdom,international_press,AMBOS,Colombia's far-right presidential candidate wins first round ahead of runoff,social_rights_progressive,Foregrounds the hard-right characterisation and political shock of the first-round outcome.,news_report,critical_label_of_de_la_espriella,https://www.theguardian.com/world/2026/jun/01/colombia-far-right-presidential-candidate-espriella-wins-first-round-of-vote-ahead-of-election-runoff
2026-06-06,The Guardian,United Kingdom,international_press,De la Espriella,Colombian far-right candidate is latest Trumpian figure in Latin America,social_rights_progressive,"Critically compares the campaign with Trump, Bukele and regional hard-right politics.",news_feature,critical_of_de_la_espriella,https://www.theguardian.com/world/2026/jun/06/colombia-presidential-candidate-abelardo-de-la-espriella
2026-06-18,Reuters,International news agency,international_news_agency,Cepeda,Social reformer Cepeda seeks Colombia's presidency,social_rights_progressive,"Profiles social reform, conflict victims, peace negotiations and moderated progressive proposals.",candidate_profile,mixed_profile,https://www.reuters.com/world/americas/philosopher-senator-exile-social-reformer-cepeda-seeks-colombias-presidency-2026-06-18/
2026-06-01,Associated Press,United States / International,international_news_agency,De la Espriella,Pro-Trump candidate takes spotlight with vow of crime crackdown,institutional_descriptive,"Describes the security platform, outsider identity and regional political context.",candidate_feature,mixed_profile,https://apnews.com/article/643a808af732c35e240949d69171d65f
2026-06-03,Associated Press,United States / International,international_news_agency,De la Espriella,De la Espriella thanks Trump for endorsing his campaign,institutional_descriptive,Reports the foreign endorsement and the resulting sovereignty controversy.,news_report,context,https://apnews.com/article/a05a677fc8a0daee4dedf56a86539749
2026-06-05,Associated Press,United States / International,international_news_agency,AMBOS,Colombia's soccer jersey becomes a symbol of political division,institutional_descriptive,Examines the politicisation of a national symbol and reactions from both campaigns.,news_feature,context,https://apnews.com/article/de9344bf3e781d0e401b20034c8088a2
