date,amplifier_name,platform,amplifier_type,piece_title,piece_alignment,candidate_scope,relationship_type,observed_frame,reported_reach,views,likes,comments,metric_status,url
2026-06-11,El Control con María Andrea Nieto,YouTube,editorial_opinion_channel,¡Colombia despertó y grita: no más FARC!: el masivo rechazo a Cepeda,favourable_de_la_espriella_or_critical_cepeda,Cepeda,editorial_commentary,anti_farc_anti_cepeda_security,47K views shown in public search index,47000,,,public_search_snapshot,https://www.youtube.com/watch?v=D5awA4ONrFE
2026-06-12,El Control con María Andrea Nieto,YouTube,editorial_opinion_channel,"Cepeda, un loco suelto en los estrados judiciales",favourable_de_la_espriella_or_critical_cepeda,Cepeda,editorial_commentary,judicialisation_and_desperation,Publicly indexed campaign-period video,,,,platform_counts_unavailable,https://www.youtube.com/watch?v=LHnRJZCxQNg
2026-06-17,El Control con María Andrea Nieto,YouTube,editorial_opinion_channel,¿Democracia o dictadura? Entre 'El Tigre' y las FARC,favourable_de_la_espriella_or_critical_cepeda,AMBOS,editorial_commentary,democracy_vs_farc,Publicly indexed campaign-period video,,,,platform_counts_unavailable,https://www.youtube.com/watch?v=BQFCBs4NyVQ
2026-06-04,Vélez por la Mañana — Luis Carlos Vélez,YouTube / Canal 1 / Podcast,digital_morning_news_and_interview,Entrevista a Abelardo de la Espriella y José Manuel Restrepo,mixed_interview_or_informational,De la Espriella,candidate_interview,economic_crisis_state_reduction_and_campaign_access,574K views shown in public YouTube search index,574000,,,public_search_snapshot,https://www.youtube.com/results?search_query=ENTREVISTA+ABELARDO+DE+LA+ESPRIELLA+JOSE+MANUEL+RESTREPO+VELEZ+POR+LA+MAÑANA
2026-06-10,Vélez por la Mañana — Luis Carlos Vélez,YouTube / Canal 1,digital_morning_news_and_debate,Debate de fórmulas vicepresidenciales — La Decisión Final,mixed_interview_or_informational,AMBOS,debate_host,economic_and_governance_comparison,471K views shown in public YouTube search index,471000,,,public_search_snapshot,https://www.youtube.com/watch?v=ecf0oq4Pm_A
2026-06-12,Vélez por la Mañana — Luis Carlos Vélez,YouTube / Podcast,digital_morning_news,Cepeda demanda nuevamente a De la Espriella,favourable_de_la_espriella_or_critical_cepeda,Cepeda,news_commentary,campaign_as_extension_of_judicial_conflict,Episode 374 indexed by Apple Podcasts,,,,podcast_index_without_engagement,https://podcasts.apple.com/us/podcast/el-podcast-con-luis-carlos-v%C3%A9lez/id1637349197
2026-06-08,Agustín Laje,YouTube / Podcast,international_conservative_influencer,Abelardo de la Espriella vs Iván Cepeda,favourable_de_la_espriella_or_critical_cepeda,AMBOS,ideological_commentary,regional_right_vs_left,Publicly indexed campaign analysis,,,,platform_counts_unavailable,https://www.youtube.com/watch?v=S0YC3pxlSBQ
2026-06-09,La Hora de la Verdad,YouTube / Radio,conservative_radio_opinion_program,Transmisión La Hora de la Verdad — 9 de junio de 2026,favourable_de_la_espriella_or_critical_cepeda,AMBOS,editorial_commentary,explicit_right_identification_and_anti_government_commentary,Official programme stream,,,,platform_counts_unavailable,https://www.youtube.com/watch?v=qNOD1RmJzIU
2026-06-15,Salud Hernández-Mora,YouTube / Opinion video,opinion_columnist,Las elecciones más violentas,favourable_de_la_espriella_or_critical_cepeda,AMBOS,security_commentary,security_deterioration_and_government_criticism,Publicly indexed campaign-period opinion video,,,,platform_counts_unavailable,https://www.youtube.com/watch?v=i1svI5UuvB0
2026-05-30,Westcol,Kick / Instagram / YouTube,streamer,Long-form interview with Abelardo de la Espriella,mixed_interview_or_informational,De la Espriella,candidate_interview,outsider_style_security_weapons_and_personality,"More than 250,000 live viewers reported by El País",250000+,,,reported_by_media,https://elpais.com/america-colombia/elecciones-presidenciales/2026-05-30/abelardo-de-la-espriella-cierra-su-campana-en-una-entrevista-con-westcol-esta-no-es-una-candidatura-sino-un-movimiento-popular.html
