agent_id,macro_region,department,municipality,generation_cohort,residential_stratum,current_state,llm_final_state,decision_transition,decision_changed,comparison_status,confidence,uncertainty,decision_confidence,heuristic_signal_title,dominant_motif,dominant_source_category,abm_dominant_emotion,heuristic_reconstructed_opinion,heuristic_reconstruction_basis,decisive_argument,rationale_summary,dominant_emotion,social_media_post
A00001,Bogota_Cundinamarca,Cundinamarca,Soacha,35_49,2,Cepeda,Cepeda,Cepeda → Cepeda,False,Stable across ABM and LLM,0.7671476252460041,0.39408823961692696,0.72,Cepeda reconoce el resultado de primera vuelta y De la Espriella redefine su relación con los partidos,reconocimiento_y_alianzas,television,esperanza,"Según las reglas del ABM, terminé inclinado hacia Cepeda. El mayor peso atribuido provino de “Cepeda reconoce el resultado de primera vuelta y De la Espriella redefine su relación con los partidos”, dentro del motivo “reconocimiento_y_alianzas”, asociado principalmente con “television”. La emoción heurística dominante fue “esperanza”. Mis indicadores finales fueron confianza heurística 0.77, incertidumbre 0.39, fatiga 0.68, movilización 0.74.",State=Cepeda; signal=S159; motif=reconocimiento_y_alianzas; source=television; emotion=esperanza,"El estado inicial y heurístico del agente apunta consistentemente a OPTION_B, con una posición consolidada en -1.0 y una movilización alta (0.74). Las señales de mayor peso en la dieta informativa (S162, S067, S064) no alteraron la dirección del voto, y las señales positivas hacia OPTION_B (S014, S012) refuerzan la inclinación existente. La propensión al voto en blanco es cero y la abstención es baja, lo que indica disposición a votar.","Con base en la dieta informativa revisada, la posición del agente se mantuvo firme hacia OPTION_B. Las señales de contraste entre candidatos no cambiaron la dirección del voto, y la movilización alta junto con propensión cero al voto en blanco confirman la decisión de votar por OPTION_B.",evaluacion,"Vea, uno revisa la información con cuidado y al final la decisión no cambia. Yo voy a votar convencida, porque lo que vi me da más razones que dudas. Sumercé, no se deje llevar por el miedo que siembran."
A00002,Antioquia_EjeCafetero,Caldas,Villamaria,25_34,2,Cepeda,Cepeda,Cepeda → Cepeda,False,Stable across ABM and LLM,0.6727721561580677,0.48831942866350486,0.67,De la Espriella agradece el respaldo de Trump,agradecimiento_trump,television,confianza,"Según las reglas del ABM, terminé inclinado hacia Cepeda. El mayor peso atribuido provino de “De la Espriella agradece el respaldo de Trump”, dentro del motivo “agradecimiento_trump”, asociado principalmente con “television”. La emoción heurística dominante fue “confianza”. Mis indicadores finales fueron confianza heurística 0.67, incertidumbre 0.49, fatiga 0.65, movilización 0.72.",State=Cepeda; signal=S061; motif=agradecimiento_trump; source=television; emotion=confianza,"El agente inició y mantuvo su posición en OPTION_A con confianza moderada. La señal S163 refuerza el discurso de anticorrupción y seguridad de OPTION_A, temas alineados con el alto orden_orientation del agente. Aunque varias señales muestran ventaja de OPTION_B en encuestas (S093, S035, S149), estas tienen riesgo de desinformación moderado (0.2) y provienen de fuentes con menor confianza relativa. El position final sigue negativo (-0.999), indicando preferencia sólida por OPTION_A.","Con base en la dieta informativa, el agente mantiene su preferencia por OPTION_A. El discurso de anticorrupción y seguridad resuena con sus valores de orden. Las encuestas que favorecen a OPTION_B tienen riesgo de desinformación moderado y el agente recuerda con fuerza el motivo de noticias falsas en campaña, lo que genera cautela ante esas señales.",movilizacion,"Parce, yo sí voy a votar por Cepeda, igual el discurso de anticorrupción y seguridad me convence más que unas encuestas que ya vimos que pueden estar manipuladas 🤔. Hombre, toca votar con cabeza fría y no dejarse llevar por el ruido."
A00003,Caribe,Atlantico,Barranquilla,35_49,4,Cepeda,Cepeda,Cepeda → Cepeda,False,Stable across ABM and LLM,0.7070443520677308,0.453861617401642,0.68,Publicación oficial en X de Cepeda: Comparte resultados de una medición de CELAG sobre la segunda vuelta.,encuesta_celag_compartida,social_oficial,confianza,"Según las reglas del ABM, terminé inclinado hacia Cepeda. El mayor peso atribuido provino de “Publicación oficial en X de Cepeda: Comparte resultados de una medición de CELAG sobre la segunda vuelta.”, dentro del motivo “encuesta_celag_compartida”, asociado principalmente con “social_oficial”. La emoción heurística dominante fue “confianza”. Mis indicadores finales fueron confianza heurística 0.71, incertidumbre 0.45, fatiga 0.60, movilización 0.59.",State=Cepeda; signal=S130; motif=encuesta_celag_compartida; source=social_oficial; emotion=confianza,"El agente inició y mantuvo su posición en OPTION_B con una confianza moderada-alta. Las señales de mayor peso en el dossier que favorecen a OPTION_A (S039, S087, S176) tienen riesgos de desinformación entre 0.12 y 0.34, y la señal S141 tiene un riesgo de 0.70, lo que reduce su credibilidad. La señal S130 refuerza a OPTION_B con menor riesgo relativo. El perfil del agente muestra orientación negociadora alta y progresismo cultural elevado, consistentes con OPTION_B.","Con base en el dossier, el agente mantiene su posición en OPTION_B. Las señales favorables a OPTION_A tienen riesgos de desinformación considerables, mientras que el perfil del agente —orientación negociadora alta, progresismo cultural elevado— es coherente con OPTION_B. La fatiga moderada y la incertidumbre presente no son suficientes para cambiar la decisión inicial.",confianza,"Honestamente, revisé la información disponible y sigo convencido de mi voto. Hay señales con riesgo alto de desinformación que no me cuadran, y prefiero confiar en lo que tiene más respaldo. Mi decisión está tomada."
A00004,Boyaca_Tolima_Huila,Huila,Neiva,50_64,2,No alineado,Voto en blanco,No alineado → Voto en blanco,True,Changed after LLM deliberation,0.35669326624563796,0.6136301417197271,0.36,La Silla reporta que Kpopers entran a campaña para impulsar a Cepeda,kpopers_con_cepeda,alternativo_investigativo,esperanza,"Según las reglas del ABM, terminé sin alinearme con ninguna de las opciones. El mayor peso atribuido provino de “La Silla reporta que Kpopers entran a campaña para impulsar a Cepeda”, dentro del motivo “kpopers_con_cepeda”, asociado principalmente con “alternativo_investigativo”. La emoción heurística dominante fue “esperanza”. Mis indicadores finales fueron confianza heurística 0.36, incertidumbre 0.61, fatiga 0.74, movilización 0.18.",State=No alineado; signal=S012; motif=kpopers_con_cepeda; source=alternativo_investigativo; emotion=esperanza,"La posición del agente es prácticamente neutral (-0.002) con alta incertidumbre (0.61) y fatiga elevada (0.74), y la propensión al voto en blanco (0.28) supera la movilización efectiva (0.18). Las señales disponibles no generan un argumento diferenciador suficiente para inclinar la decisión hacia ninguno de los candidatos.","Con una posición casi en cero, incertidumbre alta y poca movilización, no encuentro razones suficientes para votar por ninguno de los dos candidatos. La propensión al voto en blanco refleja mejor mi estado actual que cualquier opción concreta.",incertidumbre,"Yo sí fui a votar, pero marqué en blanco. Con tanta información contradictoria y candidatos que no me convencen del todo, esa fue la decisión más honesta que pude tomar. Que quede constancia de que el voto también puede ser una señal de inconformidad."
A00005,Antioquia_EjeCafetero,Quindio,Other_Quindio,65_mas,2,De la Espriella,De la Espriella,De la Espriella → De la Espriella,False,Stable across ABM and LLM,0.9053256611951616,0.2656918679591912,0.9053256611951616,Inravisión ofrece organizar y transmitir un debate presidencial en igualdad de condiciones,debate_inravision,alternativo_investigativo,tension,"Según las reglas del ABM, terminé inclinado hacia De la Espriella. El mayor peso atribuido provino de “Inravisión ofrece organizar y transmitir un debate presidencial en igualdad de condiciones”, dentro del motivo “debate_inravision”, asociado principalmente con “alternativo_investigativo”. La emoción heurística dominante fue “tension”. Mis indicadores finales fueron confianza heurística 0.91, incertidumbre 0.27, fatiga 0.64, movilización 0.81.",State=De la Espriella; signal=S167; motif=debate_inravision; source=alternativo_investigativo; emotion=tension,"La posición del agente se mantuvo firmemente en OPTION_A con una confianza del 90.5% tras procesar todas las señales disponibles. Las encuestas (S039, S013) muestran ventaja consistente de OPTION_A, y la movilización es alta (0.808), lo que refuerza la decisión inicial.","Después de revisar toda la información disponible, la posición a favor de OPTION_A se mantuvo muy sólida. Las encuestas muestran una ventaja clara del 51% frente al 43%, y aunque hubo algunas señales negativas, no fueron suficientes para cambiar la decisión. La movilización alta y la confianza acumulada respaldan votar por OPTION_A.",confianza,"Vea, yo ya tenía mi decisión clara y la información que revisé me la confirmó. Las encuestas y los datos me dan confianza para votar por De la Espriella este 21 de junio. No me dejé llevar por el ruido y fui con lo que me pareció más sólido."
A00006,Santanderes,Norte de Santander,Cucuta,25_34,3,Abstencion,Abstencion,Abstencion → Abstencion,False,Stable across ABM and LLM,0.13255837452929284,0.8282434689198015,0.13,Caracol Popayán reporta triunfo de Cepeda en Cauca y alta participación pese a alertas previas,cauca_cepeda_alta_participacion,radio,validacion,"Según las reglas del ABM, terminé con propensión a la abstención. El mayor peso atribuido provino de “Caracol Popayán reporta triunfo de Cepeda en Cauca y alta participación pese a alertas previas”, dentro del motivo “cauca_cepeda_alta_participacion”, asociado principalmente con “radio”. La emoción heurística dominante fue “validacion”. Mis indicadores finales fueron confianza heurística 0.13, incertidumbre 0.83, fatiga 0.75, movilización 0.05.",State=Abstencion; signal=S099; motif=cauca_cepeda_alta_participacion; source=radio; emotion=validacion,"La incertidumbre es extremadamente alta (0.83) y la movilización casi nula (0.05), con una propensión a la abstención del 55%. El agente no tiene alineación clara con ningún candidato y la fatiga informativa es elevada (0.75). Las señales disponibles son débiles y contradictorias, sin generar convicción suficiente para votar por ninguna opción.","Con una incertidumbre del 83% y una propensión a la abstención del 55%, este agente no encontró señales suficientemente convincentes para votar por ningún candidato. La fatiga informativa es alta, la movilización casi inexistente, y las señales recibidas se contrarrestan entre sí sin generar una preferencia clara. La abstención es la decisión más coherente con su estado actual.",desaprobacion,"Mano, yo sí fui a mirar las propuestas pero la verdad no me convenció ninguno. Con tanta información enredada y poco tiempo, prefiero no votar a votar sin convicción. 🤷"
A00007,Antioquia_EjeCafetero,Risaralda,Pereira,18_24,3,Cepeda,Cepeda,Cepeda → Cepeda,False,Stable across ABM and LLM,0.6712771604066401,0.48994786548134617,0.67,Inravisión ofrece organizar y transmitir un debate presidencial en igualdad de condiciones,debate_inravision,medio_publico,expectativa,"Según las reglas del ABM, terminé inclinado hacia Cepeda. El mayor peso atribuido provino de “Inravisión ofrece organizar y transmitir un debate presidencial en igualdad de condiciones”, dentro del motivo “debate_inravision”, asociado principalmente con “medio_publico”. La emoción heurística dominante fue “expectativa”. Mis indicadores finales fueron confianza heurística 0.67, incertidumbre 0.49, fatiga 0.74, movilización 0.65.",State=Cepeda; signal=S167; motif=debate_inravision; source=medio_publico; emotion=expectativa,"La posición inicial y heurística del agente apunta firmemente a OPTION_B (posición -0.9999), con movilización alta (0.65) y propensión nula al voto en blanco. Las señales negativas sobre OPTION_B (dificultad para conquistar el centro, error en redes) tienen bajo impacto acumulado y provienen de fuentes con confianza moderada, sin revertir la preferencia consolidada.","Con base en el dosier, la preferencia por OPTION_B es muy sólida y la movilización es alta. Las señales negativas que aparecieron tienen un impacto mínimo en la posición y no logran revertir la inclinación consolidada. La propensión al voto en blanco es cero y la abstención es baja, así que la decisión es votar por OPTION_B.",esperanza,Pues yo ya tengo claro mi voto y no me lo cambia ningún rumor de redes. La movilización que veo me da esperanza de que sí podemos cambiar algo. ¡A votar!
A00008,Caribe,Cordoba,Other_Cordoba,35_49,2,De la Espriella,De la Espriella,De la Espriella → De la Espriella,False,Stable across ABM and LLM,0.7456293300363511,0.41647935718561474,0.72,De la Espriella acusa a gobernadores de presunta presión y compra de votos a favor de Cepeda,acusacion_gobernadores_compra_votos,television,controversia,"Según las reglas del ABM, terminé inclinado hacia De la Espriella. El mayor peso atribuido provino de “De la Espriella acusa a gobernadores de presunta presión y compra de votos a favor de Cepeda”, dentro del motivo “acusacion_gobernadores_compra_votos”, asociado principalmente con “television”. La emoción heurística dominante fue “controversia”. Mis indicadores finales fueron confianza heurística 0.75, incertidumbre 0.42, fatiga 0.66, movilización 0.87.",State=De la Espriella; signal=S164; motif=acusacion_gobernadores_compra_votos; source=television; emotion=controversia,"El estado inicial y heurístico del agente apunta firmemente a OPTION_B (posición 0.9999), con alta movilización (0.865) y baja propensión al voto en blanco (0.0). Las señales negativas sobre OPTION_B (S032, S020) son de bajo impacto y no revierten la posición consolidada. La orientación económica y de orden del agente (0.776 y 0.717) es coherente con OPTION_B.","Después de revisar las señales disponibles, mi posición sigue siendo clara: voto por OPTION_B. Las noticias sobre la publicidad retirada y la camiseta son controversias menores que no cambian el panorama general. Mi orientación hacia el orden y la economía me mantiene firme en esta opción, y la movilización que siento es alta.",movilizacion,"Oye, yo ya tengo mi decisión tomada y voy a votar por De la Espriella. Qué vaina lo del escándalo de la publicidad, pero eso no me cambia lo que pienso. Igual lo importante es salir a votar y no quedarse en casa."
A00009,Santanderes,Santander,Other_Santander,25_34,2,De la Espriella,De la Espriella,De la Espriella → De la Espriella,False,Stable across ABM and LLM,0.9142178499850135,0.2563466078279378,0.89,De la Espriella agradece el respaldo de Trump,agradecimiento_trump,social_oficial,burla,"Según las reglas del ABM, terminé inclinado hacia De la Espriella. El mayor peso atribuido provino de “De la Espriella agradece el respaldo de Trump”, dentro del motivo “agradecimiento_trump”, asociado principalmente con “social_oficial”. La emoción heurística dominante fue “burla”. Mis indicadores finales fueron confianza heurística 0.91, incertidumbre 0.26, fatiga 0.57, movilización 0.84.",State=De la Espriella; signal=S061; motif=agradecimiento_trump; source=social_oficial; emotion=burla,"El agente partió y se mantuvo en OPTION_A con una posición casi máxima (0.9999) y alta movilización (0.84). Las señales negativas contra OPTION_A (S128, S172) provienen de fuentes con riesgo de desinformación moderado-alto (0.28–0.36) y tuvieron deltas de posición muy pequeños, insuficientes para revertir la preferencia consolidada. La orientación económica y de orden del perfil refuerzan la coherencia con OPTION_A.","Con una posición consolidada en OPTION_A desde el inicio y una movilización alta, las señales negativas recibidas no lograron mover significativamente la preferencia del agente. Las denuncias de OPTION_B tienen riesgo de desinformación considerable y el impacto en la posición fue mínimo. El perfil de orden y orientación económica del agente es coherente con mantener el voto por OPTION_A.",certeza,"Qué vaina con tanto ataque de último momento, pero yo ya tengo claro mi voto. La posición de De la Espriella en temas de orden y economía me convence más que las denuncias de campaña. Igual, cada quien que decida con cabeza fría. 🗳️"
A00010,Boyaca_Tolima_Huila,Huila,Neiva,18_24,2,No alineado,Cepeda,No alineado → Cepeda,True,Changed after LLM deliberation,0.3204117799634996,0.6466821357321915,0.38,Cuestión Pública investiga un posible mecanismo multinivel y presión sobre contratistas en la campaña de De la Espriella,red_referidos_y_contratistas,medio_publico,esperanza,"Según las reglas del ABM, terminé sin alinearme con ninguna de las opciones. El mayor peso atribuido provino de “Cuestión Pública investiga un posible mecanismo multinivel y presión sobre contratistas en la campaña de De la Espriella”, dentro del motivo “red_referidos_y_contratistas”, asociado principalmente con “medio_publico”. La emoción heurística dominante fue “esperanza”. Mis indicadores finales fueron confianza heurística 0.32, incertidumbre 0.65, fatiga 0.71, movilización 0.15.",State=No alineado; signal=S172; motif=red_referidos_y_contratistas; source=medio_publico; emotion=esperanza,"Las señales disponibles muestran una posición ligeramente inclinada hacia OPTION_A, con señales negativas hacia OPTION_B relacionadas con posible injerencia extranjera (S169), respaldo de ultraderecha internacional (S059) y sospechas de corrupción en su campaña (S172). Aunque la confianza es baja y la incertidumbre alta, el balance de señales favorece marginalmente a OPTION_A.","Con alta incertidumbre y fatiga informativa, las señales disponibles apuntan marginalmente hacia OPTION_A. Las señales negativas hacia OPTION_B —respaldo de ultraderecha internacional, posible red de contratistas y vínculos con Trump— pesan más que el ruido generado por declaraciones polémicas de aliados de OPTION_A. La confianza en la decisión es baja, pero votar en blanco no tiene efecto jurídico real.",incertidumbre,"Vea pues, la verdad esto no fue fácil de decidir con tanta información enredada. Pero al final voté con lo que tenía, porque el voto en blanco no cambia nada en segunda vuelta. 🗳️"
A00011,Santanderes,Santander,Bucaramanga,35_49,2,De la Espriella,De la Espriella,De la Espriella → De la Espriella,False,Stable across ABM and LLM,0.7383676052535311,0.42621646503141725,0.72,Caracol Armenia reporta triunfo de De la Espriella en 11 de 12 municipios del Quindío,quindio_de_la_espriella_municipios,radio,validacion,"Según las reglas del ABM, terminé inclinado hacia De la Espriella. El mayor peso atribuido provino de “Caracol Armenia reporta triunfo de De la Espriella en 11 de 12 municipios del Quindío”, dentro del motivo “quindio_de_la_espriella_municipios”, asociado principalmente con “radio”. La emoción heurística dominante fue “validacion”. Mis indicadores finales fueron confianza heurística 0.74, incertidumbre 0.43, fatiga 0.61, movilización 0.87.",State=De la Espriella; signal=S101; motif=quindio_de_la_espriella_municipios; source=radio; emotion=validacion,"El estado final tras la dieta informativa mantiene una posición muy cercana a OPTION_A (posición 0.9999) con movilización alta (0.87), y las señales positivas de S101 y S090 refuerzan la validación de OPTION_A, mientras que la señal negativa S172 sobre presunta red de contratistas tiene un riesgo de desinformación moderado (0.36) que reduce su peso.","Después de revisar toda la información disponible, la posición se mantiene sólidamente a favor de OPTION_A. Las señales de validación regional (Quindío) y el análisis de impacto internacional refuerzan esta opción. La denuncia de Cuestión Pública sobre contratistas genera algo de sospecha, pero su riesgo de desinformación moderado le resta peso decisivo. La movilización es alta y no hay propensión al voto en blanco, así que la decisión es votar por OPTION_A.",validacion,"Pues yo ya tengo claro mi voto, revisé la información con cuidado y no me dejé llevar por rumores sin respaldo. Hay señales concretas que me dan confianza y eso es lo que vale a la hora de decidir."
