id,fecha,titulo,descripcion,tipo,fuente,fuente_url,legal_status,candidato_afectado,direccion,motif_primary,frame,emocion,dimension_impacto,region,intensidad,credibilidad,riesgo_desinformacion,canales_probables,perfiles_relevantes,resumen_para_agente,fecha_corte,source_strict,source_category,ownership_type,geographic_scope,candidate_scope,observation_role,event_cluster_id,event_cluster_size,source_class_balance_weight,model_sampling_weight,engagement_likes,engagement_reposts,engagement_comments,engagement_views,engagement_status
S001,2026-05-31,De la Espriella e Iván Cepeda pasan a segunda vuelta presidencial,De la Espriella e Iván Cepeda pasan a segunda vuelta presidencial,resultado_electoral,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/abelardo-de-la-espriella-e-ivan-cepeda-pasan-a-segunda-vuelta-en-elecciones-colombia-2026-rg10,hecho_reportado,AMBOS,contexto,segunda_vuelta_confirmada,competencia_bipolar,incertidumbre,momentum_electoral,Nacional,0.95,0.95,0.05,prensa_digital|television|radio|whatsapp|facebook,todos,De la Espriella e Iván Cepeda pasan a segunda vuelta presidencial,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-3a3f6b50c2,2,0.589744,0.294872,,,,,not_applicable
S002,2026-05-31,La Silla confirma segunda vuelta entre Abelardo y Cepeda con datos parciales del conteo,La Silla confirma segunda vuelta entre Abelardo y Cepeda con datos parciales del conteo,resultado_electoral,La Silla Vacía,https://www.lasillavacia.com/en-vivo/habra-segunda-vuelta-abelardo-y-cepeda-se-enfrentaran-el-21-de-junio/,hecho_reportado,AMBOS,contexto,segunda_vuelta_confirmada,conteo_electoral,incertidumbre,momentum_electoral,Nacional,0.92,0.9,0.08,prensa_digital|television|radio|whatsapp|facebook,todos,La Silla confirma segunda vuelta entre Abelardo y Cepeda con datos parciales del conteo,2026-06-19,True,alternativo_investigativo,independiente,nacional,AMBOS,supporting_observation,EVT-3a3f6b50c2,2,1.642857,0.821429,,,,,not_applicable
S003,2026-05-31,Noticias RCN reporta que ninguno alcanzó el 50%+1 y que la segunda vuelta será el 21 de junio,Noticias RCN reporta que ninguno alcanzó el 50%+1 y que la segunda vuelta será el 21 de junio,resultado_electoral,Noticias RCN,https://www.noticiasrcn.com/colombia/abelardo-de-la-espriella-e-ivan-cepeda-pasan-a-segunda-vuelta-presidencial-en-colombia-1026481,hecho_reportado,AMBOS,contexto,reglas_segunda_vuelta,calendario_electoral,certeza,procedimiento_electoral,Nacional,0.88,0.92,0.06,prensa_digital|television|radio|whatsapp|facebook,todos,Noticias RCN reporta que ninguno alcanzó el 50%+1 y que la segunda vuelta será el 21 de junio,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-cf4743d627,1,0.589744,0.589744,,,,,not_applicable
S004,2026-05-31,De la Espriella habla tras confirmarse su paso a segunda vuelta,De la Espriella habla tras confirmarse su paso a segunda vuelta,discurso_campana,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/abelardo-de-la-espriella-habla-tras-confirmarse-segunda-vuelta-presidencial-contra-ivan-cepeda-rg10,declaracion_publica,De la Espriella,positiva,victoria_sorpresa,momentum_ganador,euforia,efecto_ganador,Nacional,0.78,0.82,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,De la Espriella habla tras confirmarse su paso a segunda vuelta,2026-06-19,True,television,privado,nacional,De la Espriella,canonical_signal,EVT-bbb8ac2b36,1,0.589744,0.589744,,,,,not_applicable
S005,2026-05-31,Caracol reporta resultados en vivo y reacción de registrador sobre libertad electoral,Caracol reporta resultados en vivo y reacción de registrador sobre libertad electoral,clima_institucional,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/resultados-elecciones-presidenciales-colombia-en-vivo-cepeda-de-la-espriella-y-paloma-rg10,hecho_reportado,AMBOS,contexto,confianza_institucional,garantias_electorales,certeza,confianza_electoral,Nacional,0.7,0.88,0.1,prensa_digital|television|radio|whatsapp|facebook,todos,Caracol reporta resultados en vivo y reacción de registrador sobre libertad electoral,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-bc97a7c977,1,0.589744,0.589744,,,,,not_applicable
S087,2026-05-31,Paloma Valencia anuncia apoyo a De la Espriella tras reconocer resultados de primera vuelta,NTN24 reporta que Paloma Valencia reconoció resultados y anunció apoyo al contrincante de Iván Cepeda.,apoyo_politico,NTN24,https://www.ntn24.com/noticias-politica/anuncio-mi-apoyo-a-abelardo-de-la-espriella-paloma-valencia-reconoce-los-resultados-de-las-elecciones-en-colombia-624721,declaracion_publica,De la Espriella,positiva,paloma_valencia_apoyo,traslado_derecha,validacion,apoyo_politico,Nacional / Centro Democrático,0.82,0.86,0.12,television|prensa_digital|radio|twitter_x|whatsapp|facebook,voto_derecha|adulto_mayor_offline|adulto_redes|pequeno_empresario,NTN24 reporta que Paloma Valencia reconoció resultados y anunció apoyo al contrincante de Iván Cepeda.,2026-06-19,True,television,privado,nacional,De la Espriella,canonical_signal,EVT-79271c634c,1,0.589744,0.589744,,,,,not_applicable
S088,2026-05-31,Congresistas de EE. UU. reaccionan a resultados de primera vuelta en Colombia,NTN24 reporta primeras reacciones desde Estados Unidos tras conocerse los resultados de las elecciones en Colombia.,reaccion_internacional,NTN24,https://www.ntn24.com/noticias-actualidad/las-primeras-reacciones-desde-estados-unidos-a-los-resultados-de-las-elecciones-en-colombia-orgulloso-del-pueblo-colombiano-624737,declaracion_publica_internacional,AMBOS,mixta,reacciones_eeuu_resultados,mirada_internacional,validacion,politica_exterior,Internacional / Exterior / Nacional,0.7,0.84,0.14,television|prensa_digital|twitter_x|whatsapp|facebook,exterior|profesional_urbano|adulto_redes,NTN24 reporta primeras reacciones desde Estados Unidos tras conocerse los resultados de las elecciones en Colombia.,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-65dbc674da,1,0.589744,0.589744,,,,,not_applicable
S006,2026-06-01,Federación Colombiana de Fútbol se refiere al uso de la camiseta de la Selección en campaña,Federación Colombiana de Fútbol se refiere al uso de la camiseta de la Selección en campaña,controversia_simbolica,Noticias Caracol / EFE,https://www.noticiascaracol.com/politica/elecciones-colombia/federacion-colombiana-de-futbol-se-refirio-al-uso-de-camiseta-de-la-seleccion-en-las-elecciones-presidenciales-cb20,pronunciamiento_institucional,De la Espriella,negativa,camiseta_seleccion,simbolos_nacionales,controversia,identidad_nacional,Nacional,0.82,0.88,0.16,prensa_digital|television|radio|whatsapp|facebook,todos,Federación Colombiana de Fútbol se refiere al uso de la camiseta de la Selección en campaña,2026-06-19,True,television,privado,nacional,De la Espriella,canonical_signal,EVT-ca49a0119f,1,0.589744,0.589744,,,,,not_applicable
S007,2026-06-01,El País analiza la apropiación política de la camiseta de la Selección y la crítica de Cepeda,El País analiza la apropiación política de la camiseta de la Selección y la crítica de Cepeda,analisis_politico,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-01/la-campana-se-viste-con-la-camiseta-de-la-seleccion-colombia-ivan-cepeda-senala-a-abelardo-de-la-espriella-de-oportunismo.html,analisis_periodistico,De la Espriella,negativa,camiseta_seleccion_oportunismo,patriotismo_politico,rechazo,identidad_nacional,Nacional,0.78,0.84,0.14,prensa_digital|television|radio|whatsapp|facebook,todos,El País analiza la apropiación política de la camiseta de la Selección y la crítica de Cepeda,2026-06-19,True,otro,no_clasificado,no_clasificado,De la Espriella,canonical_signal,EVT-589ebcaa8c,1,0.638889,0.638889,,,,,not_applicable
S008,2026-06-01,Cepeda emplaza a De la Espriella a debate político y electoral,Cepeda emplaza a De la Espriella a debate político y electoral,debate_presidencial,TeleSUR / publicación citada de X,https://www.telesurtv.net/ivan-cepeda-abelardo-de-la-espriella-debate-politico-electoral/,declaracion_publica,Cepeda,positiva,llamado_debate,transparencia_confrontacion_ideas,reto,rendicion_cuentas,Nacional,0.7,0.86,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,Cepeda emplaza a De la Espriella a debate político y electoral,2026-06-19,True,otro,no_clasificado,no_clasificado,Cepeda,canonical_signal,EVT-02aa727889,1,0.638889,0.638889,,,,,not_applicable
