agent_id,macro_region,generation_cohort,residential_stratum,current_state,llm_final_state,decision_changed,decision_confidence,dominant_emotion,rationale_summary
A00001,Bogota_Cundinamarca,35_49,2,Cepeda,Cepeda,False,0.72,evaluacion,"Con base en la dieta informativa revisada, la posición del agente se mantuvo firme hacia OPTION_B. Las señales de contraste entre candidatos no cambiaron la dirección del voto, y la movilización alta junto con propensión cero al voto en blanco confirman la decisión de votar por OPTION_B."
A00002,Antioquia_EjeCafetero,25_34,2,Cepeda,Cepeda,False,0.67,movilizacion,"Con base en la dieta informativa, el agente mantiene su preferencia por OPTION_A. El discurso de anticorrupción y seguridad resuena con sus valores de orden. Las encuestas que favorecen a OPTION_B tienen riesgo de desinformación moderado y el agente recuerda con fuerza el motivo de noticias falsas en campaña, lo que genera cautela ante esas señales."
A00003,Caribe,35_49,4,Cepeda,Cepeda,False,0.68,confianza,"Con base en el dossier, el agente mantiene su posición en OPTION_B. Las señales favorables a OPTION_A tienen riesgos de desinformación considerables, mientras que el perfil del agente —orientación negociadora alta, progresismo cultural elevado— es coherente con OPTION_B. La fatiga moderada y la incertidumbre presente no son suficientes para cambiar la decisión inicial."
A00004,Boyaca_Tolima_Huila,50_64,2,No alineado,Voto en blanco,True,0.36,incertidumbre,"Con una posición casi en cero, incertidumbre alta y poca movilización, no encuentro razones suficientes para votar por ninguno de los dos candidatos. La propensión al voto en blanco refleja mejor mi estado actual que cualquier opción concreta."
A00005,Antioquia_EjeCafetero,65_mas,2,De la Espriella,De la Espriella,False,0.9053256611951616,confianza,"Después de revisar toda la información disponible, la posición a favor de OPTION_A se mantuvo muy sólida. Las encuestas muestran una ventaja clara del 51% frente al 43%, y aunque hubo algunas señales negativas, no fueron suficientes para cambiar la decisión. La movilización alta y la confianza acumulada respaldan votar por OPTION_A."
A00006,Santanderes,25_34,3,Abstencion,Abstencion,False,0.13,desaprobacion,"Con una incertidumbre del 83% y una propensión a la abstención del 55%, este agente no encontró señales suficientemente convincentes para votar por ningún candidato. La fatiga informativa es alta, la movilización casi inexistente, y las señales recibidas se contrarrestan entre sí sin generar una preferencia clara. La abstención es la decisión más coherente con su estado actual."
A00007,Antioquia_EjeCafetero,18_24,3,Cepeda,Cepeda,False,0.67,esperanza,"Con base en el dosier, la preferencia por OPTION_B es muy sólida y la movilización es alta. Las señales negativas que aparecieron tienen un impacto mínimo en la posición y no logran revertir la inclinación consolidada. La propensión al voto en blanco es cero y la abstención es baja, así que la decisión es votar por OPTION_B."
A00008,Caribe,35_49,2,De la Espriella,De la Espriella,False,0.72,movilizacion,"Después de revisar las señales disponibles, mi posición sigue siendo clara: voto por OPTION_B. Las noticias sobre la publicidad retirada y la camiseta son controversias menores que no cambian el panorama general. Mi orientación hacia el orden y la economía me mantiene firme en esta opción, y la movilización que siento es alta."
A00009,Santanderes,25_34,2,De la Espriella,De la Espriella,False,0.89,certeza,"Con una posición consolidada en OPTION_A desde el inicio y una movilización alta, las señales negativas recibidas no lograron mover significativamente la preferencia del agente. Las denuncias de OPTION_B tienen riesgo de desinformación considerable y el impacto en la posición fue mínimo. El perfil de orden y orientación económica del agente es coherente con mantener el voto por OPTION_A."
A00010,Boyaca_Tolima_Huila,18_24,2,No alineado,Cepeda,True,0.38,incertidumbre,"Con alta incertidumbre y fatiga informativa, las señales disponibles apuntan marginalmente hacia OPTION_A. Las señales negativas hacia OPTION_B —respaldo de ultraderecha internacional, posible red de contratistas y vínculos con Trump— pesan más que el ruido generado por declaraciones polémicas de aliados de OPTION_A. La confianza en la decisión es baja, pero votar en blanco no tiene efecto jurídico real."
A00011,Santanderes,35_49,2,De la Espriella,De la Espriella,False,0.72,validacion,"Después de revisar toda la información disponible, la posición se mantiene sólidamente a favor de OPTION_A. Las señales de validación regional (Quindío) y el análisis de impacto internacional refuerzan esta opción. La denuncia de Cuestión Pública sobre contratistas genera algo de sospecha, pero su riesgo de desinformación moderado le resta peso decisivo. La movilización es alta y no hay propensión al voto en blanco, así que la decisión es votar por OPTION_A."
