agent_id,llm_final_state,social_media_post,decision_confidence,macro_region,tone_score,passive_hits,assertive_hits,confrontational_hits,exclamation_density,uppercase_ratio,tone_band
A00001,Cepeda,"Vea, uno revisa la información con cuidado y al final la decisión no cambia. Yo voy a votar convencida, porque lo que vi me da más razones que dudas. Sumercé, no se deje llevar por el miedo que siembran.",0.72,Bogota_Cundinamarca,0.1087953555878084,3.0,0.0,0.0,0.0,0.018867924528301886,Passive
A00002,Cepeda,"Parce, yo sí voy a votar por Cepeda, igual el discurso de anticorrupción y seguridad me convence más que unas encuestas que ya vimos que pueden estar manipuladas 🤔. Hombre, toca votar con cabeza fría y no dejarse llevar por el ruido.",0.67,Antioquia_EjeCafetero,0.4300865460267506,0.0,0.0,1.0,0.0,0.016129032258064516,Assertive
A00003,Cepeda,"Honestamente, revisé la información disponible y sigo convencido de mi voto. Hay señales con riesgo alto de desinformación que no me cuadran, y prefiero confiar en lo que tiene más respaldo. Mi decisión está tomada.",0.68,Caribe,0.47759740259740263,1.0,3.0,0.0,0.0,0.017045454545454544,Assertive
A00004,Voto en blanco,"Yo sí fui a votar, pero marqué en blanco. Con tanta información contradictoria y candidatos que no me convencen del todo, esa fue la decisión más honesta que pude tomar. Que quede constancia de que el voto también puede ser una señal de inconformidad.",0.36,Boyaca_Tolima_Huila,0.25773399014778325,0.0,0.0,0.0,0.0,0.014778325123152709,Calm
A00005,De la Espriella,"Vea, yo ya tenía mi decisión clara y la información que revisé me la confirmó. Las encuestas y los datos me dan confianza para votar por De la Espriella este 21 de junio. No me dejé llevar por el ruido y fui con lo que me pareció más sólido.",0.9053256611951616,Antioquia_EjeCafetero,0.33875222816399286,0.0,1.0,0.0,0.0,0.026737967914438502,Calm
A00006,Abstencion,"Mano, yo sí fui a mirar las propuestas pero la verdad no me convenció ninguno. Con tanta información enredada y poco tiempo, prefiero no votar a votar sin convicción. 🤷",0.13,Santanderes,0.1889449305198147,1.0,0.0,0.0,0.0,0.014925373134328358,Passive
A00007,Cepeda,Pues yo ya tengo claro mi voto y no me lo cambia ningún rumor de redes. La movilización que veo me da esperanza de que sí podemos cambiar algo. ¡A votar!,0.67,Antioquia_EjeCafetero,0.54121984277582,0.0,2.0,0.0,0.03225806451612903,0.025210084033613446,Assertive
A00008,De la Espriella,"Oye, yo ya tengo mi decisión tomada y voy a votar por De la Espriella. Qué vaina lo del escándalo de la publicidad, pero eso no me cambia lo que pienso. Igual lo importante es salir a votar y no quedarse en casa.",0.72,Caribe,0.35078224101479916,0.0,1.0,0.0,0.0,0.030303030303030304,Calm
A00009,De la Espriella,"Qué vaina con tanto ataque de último momento, pero yo ya tengo claro mi voto. La posición de De la Espriella en temas de orden y economía me convence más que las denuncias de campaña. Igual, cada quien que decida con cabeza fría. 🗳️",0.89,Santanderes,0.42180424226935853,0.0,2.0,0.0,0.0,0.027472527472527472,Assertive
A00010,Cepeda,"Vea pues, la verdad esto no fue fácil de decidir con tanta información enredada. Pero al final voté con lo que tenía, porque el voto en blanco no cambia nada en segunda vuelta. 🗳️",0.38,Boyaca_Tolima_Huila,0.2571428571428571,0.0,0.0,0.0,0.0,0.014285714285714285,Calm
