llm_final_state,argument_theme,normalised_argument,agents,mean_confidence,change_rate
Abstencion,Trust and credibility,"El agente presenta una propensión de abstención muy alta (0.648), baja movilización (0.023), alta fatiga (0.658) y una posición casi neutral (-0.0002). Las señales recibidas son débiles y contradictorias entre sí, sin inclinar claramente hacia ningún candidato. La confianza institucional es muy baja (0.135) y la incertidumbre supera el 50%, lo que refuerza la decisión de no votar.",1,0.47,0.0
Abstencion,Social rights and welfare,"La posición del agente es casi neutral (-0.003) con alta incertidumbre (0.58) y baja movilización (0.25), y la propensión a la abstención (0.47) supera ampliamente la del voto en blanco (0.13). Las señales recibidas son débiles y mixtas: las negativas hacia OPTION_B (camiseta, injerencia) y las positivas hacia OPTION_A (bases sociales) no logran desplazar la posición de forma significativa. El estado heurístico inicial ya era abstención y la evidencia no es suficiente para revertirlo.",1,0.39,0.0
Abstencion,Rejection of both campaigns,"La agente tiene una propensión de abstención muy alta (0.47) y una posición casi neutral (-0.008), con alta incertidumbre (0.59) y fatiga informativa (0.76). Las señales más fuertes en su dieta informativa se centran en el voto en blanco y controversias menores sobre OPTION_A, sin argumentos sustanciales que inclinen la balanza hacia ningún candidato. La movilización es mínima (0.07) y la confianza institucional baja (0.37), lo que refuerza la tendencia a no participar.",1,0.38,0.0
Abstencion,Rejection of both campaigns,"La posición del agente es casi neutral (-0.003) con alta incertidumbre (0.60) y fatiga (0.61), y la propensión a la abstención es muy alta (0.67). Las señales recibidas son de baja intensidad y no logran mover la decisión hacia ningún candidato de forma convincente. El motif más fuerte es orden institucional, pero ninguna señal lo vincula claramente a una opción.",1,0.37,0.0
Abstencion,Rejection of both campaigns,"La posición del agente es prácticamente neutral (−0.004) con alta incertidumbre (0.62) y fatiga elevada (0.70), y la propensión a la abstención es la más alta de todas las opciones (0.46). Las señales recibidas son de baja intensidad, ninguna logra mover significativamente la posición hacia ningún candidato, y la movilización es muy baja (0.25). El estado heurístico inicial ya era abstención y los datos no justifican un cambio.",1,0.35,0.0
Cepeda,Trust and credibility,"El estado final del agente muestra una posición consolidada hacia OPTION_A (posición -0.9999997) con alta confianza (0.954) y alta movilización (0.822), respaldada por señales que refuerzan la narrativa positiva de OPTION_A como el reconocimiento oficial de resultados y el plan de gobierno moderado.",1,0.95,0.0
Cepeda,Trust and credibility,"El agente mantiene una posición fuertemente consolidada hacia OPTION_B (posición -0.9999, confianza 0.93) tras procesar su dieta informativa. Las señales negativas sobre OPTION_B (S171, dificultad para conquistar el centro) son de bajo impacto y no revierten la tendencia. La movilización es alta (0.72) y la propensión al voto en blanco es cero, lo que refuerza la decisión de votar.",1,0.91,0.0
Cepeda,Trust and credibility,"La posición del agente es fuertemente favorable a OPTION_A (posición -0.9999, confianza 0.98) tras procesar la dieta informacional. Aunque las señales negativas sobre dificultades de OPTION_A para conquistar el centro son las más memorables, estas provienen de fuentes de alta confianza (alternativo_investigativo) y no alteran la preferencia consolidada. Las señales favorables a OPTION_B (respaldo de Trump, encuestas AtlasIntel) tienen riesgos de desinformación moderados y no generan suficiente contrapeso.",1,0.91,0.0
Cepeda,Trust and credibility,"El agente inició y mantuvo su posición en OPTION_A con alta confianza (0.929) y movilización elevada (0.793). Las señales del dossier que favorecen a OPTION_B generaron deltas de posición mínimos y no lograron revertir la preferencia consolidada. La memoria de motivos dominante incluye alertas sobre desinformación (fake_news_imagenes_falsas) y el apoyo de figuras de ultraderecha como Milei a OPTION_B, lo cual, dado el perfil del agente con orientación cultural progresista baja pero conflicto-memoria alta, refuerza la desconfianza hacia OPTION_B.",1,0.89,0.0
Cepeda,Trust and credibility,"El estado inicial y heurístico apunta firmemente a OPTION_B con una posición de -1.0 y confianza de 0.92. Las señales negativas sobre OPTION_A (investigación de red de contratistas, S172) refuerzan la desconfianza, mientras que las señales positivas de OPTION_A tienen bajo impacto neto en la posición final.",1,0.89,0.0
