example_number,agent_id,current_state,confidence,uncertainty,fatigue,mobilisation,chosen_option,decision_confidence,decisive_argument,dominant_emotion,supporting_signal_ids,rejected_argument,contradiction_resolution,rationale_summary,autonomous_action,evidence_sufficiency,changed_from_heuristic,reinterpreted_campaign_terms,semantic_frame_used,semantic_reframing_influence,external_knowledge_used,social_media_post,realised_register,regional_markers_used,age_style_features_used,digital_style_features_used,residential_stratum_influence,colombian_language_naturalness,linguistic_style_consistent,stereotype_risk_detected,provider,model,llm_final_state,social_media_post_anonymised,macro_region,department,municipality,urban_system,stratum_cap,rurality,generation_cohort,residential_stratum,target_register,input_tokens,output_tokens,post_word_count,unsupported_regional_markers,regional_marker_budget_respected,style_audit_pass,changed_from_heuristic_reported,information_dose_band,misinformation_dose_band,total_information_dose,misinformation_dose,direct_exposures,peer_exposures,unique_signals,unique_motifs,dominant_motif,abm_dominant_emotion,dominant_source_category,dominant_signal_id,semantic_dose_band,semantic_term_diversity,semantic_information_dose,contested_semantic_dose,temporal_reframing_dose,semantic_effect_dose,dominant_semantic_term,decision_changed,heuristic_to_llm,cepeda_presented_as,confidence_band
1,A00884,De la Espriella,0.6543022524176522,0.5039872682936232,0.7759887973105961,0.6939970600394244,OPTION_B,0.65,"El estado inicial y heurístico del agente apunta firmemente a OPTION_B (posición 0.9999998), y aunque algunas señales negativas afectaron levemente esa posición (S032, S172), su impacto fue mínimo. La propensión al voto en blanco es muy baja (0.025) y la movilización es alta (0.69), lo que respalda una decisión activa por OPTION_B.",certeza,"['S204', 'S032', 'S172']","Las señales negativas sobre OPTION_B (publicidad con símbolos patrios retirada por juez y posible presión sobre contratistas) generan algo de sospecha, pero su impacto en la posición fue marginal y el riesgo de desinformación en S172 es moderado-alto (0.36).",Las señales negativas contra OPTION_B tienen bajo peso en la posición final dado que el agente partió con convicción alta hacia esa opción y la propensión al voto en blanco o abstención es baja. La fatiga es alta pero la movilización la compensa.,"Con base en la información disponible, mi posición se mantiene firme hacia OPTION_B. Las señales negativas que aparecieron tienen bajo impacto real en mi decisión y la propensión al voto en blanco es mínima. La movilización alta me impulsa a votar activamente.",vote,medium,False,"['orden', 'patria', 'seguridad']",orden_y_firmeza,low,False,"Pues yo ya tengo claro mi voto, parce. Revisé lo que circuló y no me convenció cambiar. Mañana voy a las urnas con la decisión tomada 🗳️",colloquial,['pues'],['parce'],['emoji'],none,0.85,True,False,Anthropic Claude,claude-sonnet-4-6,De la Espriella,"Pues yo ya tengo claro mi voto, parce. Revisé lo que circuló y no me convenció cambiar. Mañana voy a las urnas con la decisión tomada 🗳️",Sur_Amazonia,Guaviare,Other_Guaviare,other_municipality,4,rural,25_34,1,colloquial,5703,617,27,[],True,True,False,Q5 muy alta,Q4 alta,1.2450083828676173,0.17384783253185687,20,0,18,18,red_referidos_y_contratistas,esperanza,alternativo_investigativo,S172,Q5 muy alta,11,1.1966054561609605,0.38329844334473706,0.8493523592461374,0.0357978620250475,esperanza,False,De la Espriella → De la Espriella,OPTION_A,high
2,A00877,No alineado,0.2528336025847113,0.7152772690279161,0.6578007440915467,0.15125453409688772,BLANK,0.31,"La posición del agente es prácticamente neutral (-0.005) con alta incertidumbre (0.715) y fatiga elevada (0.658). Las señales más fuertes afectan negativamente a OPTION_A (camiseta de la Selección, injerencia Trump) pero sin generar convicción positiva hacia OPTION_B. La propensión al voto en blanco (0.166) supera la movilización (0.151), y el motif de intención de voto en blanco es el de mayor memoria relativa junto con la incertidumbre como emoción dominante.",incertidumbre,"['S203', 'S006', 'S169']","Votar por OPTION_A basándose en la entrevista radial (S080) y el agradecimiento a Trump (S061), ya que esas señales positivas son débiles y están contrarrestadas por señales negativas de mayor peso sobre el mismo candidato.","OPTION_A recibe tanto señales positivas (entrevista radial, respaldo internacional) como negativas (controversia camiseta, injerencia extranjera). La resultante es casi cero, lo que refuerza la indecisión y hace del voto en blanco la opción más coherente con el estado interno del agente.","Con una posición casi neutra, incertidumbre muy alta y fatiga considerable, no encuentro razones suficientes para inclinarme por ninguno de los dos candidatos. Las señales sobre OPTION_A son contradictorias y las de OPTION_B son escasas en el dossier. La verdad, el voto en blanco refleja mejor mi estado de ánimo frente a esta elección.",vote,low,True,"['voto', 'seguridad', 'orden']",incertidumbre_electoral,low,False,"La verdad, después de revisar todo lo que ha salido en estos días, no me convence ninguno de los dos. Voy a marcar voto en blanco porque no tengo la certeza suficiente para respaldar a ningún candidato con conciencia tranquila.",everyday,[],['la verdad'],[],none,0.82,True,False,Anthropic Claude,claude-sonnet-4-6,Voto en blanco,"La verdad, después de revisar todo lo que ha salido en estos días, no me convence ninguno de los dos. Voy a marcar voto en blanco porque no tengo la certeza suficiente para respaldar a ningún candidato con conciencia tranquila.",Llanos_Orinoquia,Arauca,Other_Arauca,other_municipality,4,periferia_urbana,65_mas,3,everyday,5627,686,40,[],True,True,True,Q5 muy alta,Q5 muy alta,1.4462896301160542,0.21123643859323432,21,0,18,18,agradecimiento_trump,alerta,radio,S061,Q2 baja,11,0.8005924865375172,0.19561115529200798,0.5395607595494881,0.0146463036507737,voto,True,No alineado → Voto en blanco,OPTION_B,moderate
3,A00996,Cepeda,0.98,0.19138243856746776,0.6665598422971172,0.5567361369833734,OPTION_A,0.91,"La posición del agente es fuertemente favorable a OPTION_A (posición -0.9999, confianza 0.98) tras procesar la dieta informacional. Aunque las señales negativas sobre dificultades de OPTION_A para conquistar el centro son las más memorables, estas provienen de fuentes de alta confianza (alternativo_investigativo) y no alteran la preferencia consolidada. Las señales favorables a OPTION_B (respaldo de Trump, encuestas AtlasIntel) tienen riesgos de desinformación moderados y no generan suficiente contrapeso.",presion,"['S171', 'S012', 'S169']","Las encuestas AtlasIntel (S013) y el agradecimiento de OPTION_B al respaldo de Trump (S061) podrían sugerir un giro hacia OPTION_B, pero el riesgo de desinformación de S013 (0.20) y la connotación negativa de la injerencia extranjera refuerzan la preferencia por OPTION_A.","Las señales negativas sobre OPTION_A (dificultad para conquistar el centro) son reconocidas como presión real, pero no contradicen la preferencia consolidada; simplemente señalan un reto electoral, no un defecto de fondo. La confianza alta en fuentes alternativo_investigativas da peso a estos análisis sin revertir la decisión.","Después de revisar toda la información disponible, la posición a favor de OPTION_A se mantiene sólida. Las dificultades para conquistar el centro son un reto reconocido, pero no cambian la valoración de fondo. El respaldo de Trump a OPTION_B y las encuestas con riesgo de desinformación no son suficientes para revertir una preferencia tan consolidada. La movilización ciudadana y el análisis de fuentes confiables sostienen esta decisión.",vote,high,False,"['esperanza', 'democracia', 'patria']",soberanía e independencia frente a injerencia extranjera,low,False,"Vea, uno analiza bien la información y la decisión no cambia. La injerencia extranjera en esta campaña me preocupa, y eso no es un detalle menor. Voto con convicción por Cepeda.",formal,['vea'],"['mire', 'vea']",[],none,0.88,True,False,Anthropic Claude,claude-sonnet-4-6,Cepeda,"Vea, uno analiza bien la información y la decisión no cambia. La injerencia extranjera en esta campaña me preocupa, y eso no es un detalle menor. Voto con convicción por OPTION_A.",Santanderes,Santander,Giron,major_or_metropolitan,6,urbano,50_64,4,formal,5617,749,31,[],True,True,False,Q4 alta,Q4 alta,1.0841237413219298,0.16589872571691253,20,0,17,17,kpopers_con_cepeda,esperanza,alternativo_investigativo,S012,Q5 muy alta,10,0.6598501328524361,0.31318687264634804,0.5379230214633378,0.013477954327110603,esperanza,False,Cepeda → Cepeda,OPTION_A,very_high
4,A00381,No alineado,0.20488723626475722,0.7592189189358852,0.7819074306200954,0.33653635689771494,UNDECIDED,0.2,"La posición del agente está prácticamente en cero (-0.004) con una incertidumbre muy alta (0.76) y fatiga elevada (0.78). Las señales disponibles tienen memorias de motivo muy débiles y deltas de posición mínimos, sin ninguna exposición entre pares que refuerce una dirección clara. No hay evidencia suficiente para inclinarse por ninguna opción.",duda,"['S204', 'S192', 'S022']","El favoritismo de mercado de predicción (S192) podría sugerir OPTION_A, pero su riesgo de desinformación es 0.28 y la memoria del motivo es la más débil del conjunto, por lo que no es suficiente para decidir.","Las señales positivas hacia OPTION_B (debates, participación en Cauca) se contrarrestan con el favoritismo de mercado hacia OPTION_A, y ninguna supera el umbral de confianza dado el alto nivel de incertidumbre y fatiga del agente.","Con una incertidumbre de más del 75% y una fatiga muy alta, las señales disponibles no logran mover la posición del agente de manera significativa. El motivo más fuerte es el favoritismo de mercado de predicción, pero su riesgo de desinformación lo hace poco confiable. La propensión a la abstención es moderada pero no dominante. En estas condiciones, la decisión más honesta es quedar sin definir.",remain_undecided,low,False,"['voto', 'orden', 'seguridad']",incertidumbre_electoral,low,False,"Tipo, yo quiero votar con convicción pero la verdad no me cuadra bien ninguna opción con lo que he visto. Demasiada incertidumbre y poca información clara 🤔",colloquial,[],['tipo'],['emoji'],none,0.82,True,False,Anthropic Claude,claude-sonnet-4-6,No alineado,"Tipo, yo quiero votar con convicción pero la verdad no me cuadra bien ninguna opción con lo que he visto. Demasiada incertidumbre y poca información clara 🤔",Boyaca_Tolima_Huila,Huila,Neiva,other_department_capital,4,periferia_urbana,18_24,2,colloquial,5645,633,27,[],True,True,False,Q4 alta,Q4 alta,1.20493097033894,0.17149720817603123,24,0,24,24,favoritismo_mercado_prediccion,confianza,television,S192,Q4 alta,12,0.9374625840675589,0.27864607933644087,0.70303566036792,0.024907978723006288,voto,False,No alineado → No alineado,OPTION_B,low
5,A00918,Abstencion,0.34606310892524794,0.6236158950239857,0.8043828601099772,0.10896654966812061,ABSTAIN,0.32,"El agente presenta alta incertidumbre (0.62), fatiga elevada (0.80) y baja movilización (0.11), con una propensión a la abstención de casi 0.50. Las señales del dosier son débiles, contradictorias y con riesgos de desinformación moderados. No hay evidencia suficiente para inclinar la decisión hacia ninguna opción con confianza razonable.",incertidumbre,"['S176', 'S124', 'S171', 'S013']","El respaldo de Trump a OPTION_B (S060) y la ventaja en encuestas (S013) podrían inclinar hacia OPTION_B, pero el riesgo de desinformación y la baja confianza institucional del agente no justifican una decisión firme.","Ambas opciones se acusan mutuamente de representar riesgos institucionales (S176 vs S124), lo que genera incertidumbre neta sin resolución clara. La fatiga informativa impide procesar estas contradicciones de forma efectiva.","La verdad, con tanta información contradictoria y señales débiles, no me siento en condiciones de votar por ninguno con convicción. La incertidumbre es muy alta y la fatiga también. Prefiero abstenerme antes que votar sin estar seguro.",abstain,low,False,"['democracia', 'esperanza', 'futuro']",riesgo_institucional_mutuo,low,False,"Parce, la verdad yo no le veo claridad a ninguno de los dos con todo lo que están diciendo. Hay demasiada contradicción y uno no sabe en qué creer. Me quedo en casa esta vez.",everyday,['parce'],"['la verdad', 'igual']",[],low,0.85,True,False,Anthropic Claude,claude-sonnet-4-6,Abstencion,"Parce, la verdad yo no le veo claridad a ninguno de los dos con todo lo que están diciendo. Hay demasiada contradicción y uno no sabe en qué creer. Me quedo en casa esta vez.",Antioquia_EjeCafetero,Antioquia,Itagui,major_or_metropolitan,6,urbano,35_49,2,everyday,5653,604,35,[],True,True,False,Q4 alta,Q3 media,1.2150688055027008,0.15838699947438006,24,0,22,22,riesgo_continuidad_electoral,confianza,television,S176,Q5 muy alta,12,0.9268066553344849,0.32585775781896503,0.683229140675658,0.012096492409031928,esperanza,False,Abstencion → Abstencion,OPTION_A,moderate
6,A00910,De la Espriella,0.6792128774721107,0.48016188515778674,0.6838736586838754,0.740577434203142,OPTION_B,0.68,"El estado inicial y heurístico apunta firmemente a OPTION_B (posición 0.9996), con movilización alta (0.74) y propensión a voto en blanco nula. Los motivos dominantes de orden institucional y convivencia refuerzan la preferencia por OPTION_B, cuyo perfil de mano dura y orden resuena con la orientación de la agente hacia la economía y la negociación dentro de marcos institucionales.",confianza,"['S188', 'S072', 'S139']","Las señales positivas sobre OPTION_A (S085, S049) tienen deltas de posición negativos muy pequeños y no logran revertir la posición consolidada hacia OPTION_B. La señal S168 sobre el presunto autoatentado tiene riesgo de desinformación alto (0.64) y no se considera determinante.","La señal S168 con alto riesgo de desinformación fue descartada por su baja confiabilidad. Las señales mixtas (S188, S072) aumentan la incertidumbre pero no cambian la dirección de la decisión dado el fuerte anclaje inicial.","La verdad, después de revisar toda la información disponible, mi posición se mantiene con OPTION_B. Los motivos de orden institucional y convivencia son los más fuertes en mi memoria, y la movilización es alta. Las señales a favor de OPTION_A son débiles y algunas tienen riesgo de desinformación. No hay razón suficiente para cambiar.",vote,medium,False,"['orden', 'seguridad', 'democracia']",orden_institucional_y_convivencia,low,False,"La verdad, uno analiza la información que circula y hay mucho ruido y desinformación. Yo voy a votar con convicción por lo que considero más sólido para el país, sin dejarse llevar por el pánico ni por señales sin respaldo claro.",formal,['la verdad'],[],[],none,0.85,True,False,Anthropic Claude,claude-sonnet-4-6,De la Espriella,"La verdad, uno analiza la información que circula y hay mucho ruido y desinformación. Yo voy a votar con convicción por lo que considero más sólido para el país, sin dejarse llevar por el pánico ni por señales sin respaldo claro.",Pacifico,Narino,Pasto,major_or_metropolitan,6,urbano,35_49,6,formal,5632,658,41,[],True,True,False,Q4 alta,Q3 media,1.0998615884832517,0.14442080434684823,20,0,20,20,clase_media_de_la_espriella,miedo,alternativo_investigativo,S019,Q4 alta,13,0.9775872561369998,0.3014532072526508,0.7161250624078831,0.0178589274417926,voto,False,De la Espriella → De la Espriella,OPTION_A,high
7,A00765,Cepeda,0.7295415819806486,0.4323434774249905,0.7127340507440686,0.6549157493469812,OPTION_B,0.73,"La posición inicial y heurística del agente apunta firmemente a OPTION_B con una confianza de 0.73. Las señales favorables a OPTION_A (S101, S076, S013, S149) tienen deltas de posición muy pequeños y no logran revertir la inclinación consolidada hacia OPTION_B. La agente muestra orientación hacia la negociación y progresismo cultural, coherentes con OPTION_B.",certeza,"['S204', 'S174']","Las señales que favorecen a OPTION_A (encuestas AtlasIntel, bases evangélicas y militares, resultados en Quindío) generan movimientos de posición marginales y no superan la confianza acumulada en OPTION_B.","Las señales pro-OPTION_A aumentan levemente la incertidumbre pero no cambian la dirección de la posición. La señal S204 sobre el voto en blanco confirma que tiene solo efecto simbólico, lo que refuerza votar por la opción preferida en lugar de votar en blanco.",La señora mantiene su preferencia por OPTION_B con una confianza razonable. Las noticias sobre encuestas y bases de apoyo de OPTION_A no fueron suficientes para cambiar su posición. La aclaración de la Registraduría sobre el voto en blanco la confirma en que lo mejor es votar directamente por su candidato preferido.,vote,medium,False,"['voto', 'seguridad', 'orden']",negociacion_y_participacion,low,False,"Ajá, mire, yo ya tengo claro mi voto y no me lo cambia ninguna encuesta de última hora. El voto en blanco no sirve de nada en segunda vuelta, así que voy con mi candidato con toda la convicción.",everyday,['ajá'],['mire'],[],none,0.88,True,False,Anthropic Claude,claude-sonnet-4-6,Cepeda,"Ajá, mire, yo ya tengo claro mi voto y no me lo cambia ninguna encuesta de última hora. El voto en blanco no sirve de nada en segunda vuelta, así que voy con mi candidato con toda la convicción.",Caribe,Atlantico,Soledad,major_or_metropolitan,6,periferia_urbana,65_mas,5,everyday,5675,633,39,[],True,True,False,Q4 alta,Q4 alta,1.1142129358006723,0.18083823963079979,20,0,19,19,efecto_simbolico_no_juridico,miedo,medio_publico,S204,Q4 alta,11,0.8830918528683415,0.26296122894455465,0.6120849863441291,0.03292800739028614,voto,False,Cepeda → Cepeda,OPTION_B,high
8,A00808,Cepeda,0.7323934532961213,0.430989475182862,0.5925241232749792,0.6527352989617253,OPTION_A,0.73,"La posición del agente se mantuvo firmemente en OPTION_A desde el estado inicial y heurístico, con una posición de -0.9999 que indica preferencia consolidada. Los motivos dominantes como 'adhesion_mais_cepeda' y 'dificultad_conquista_centro' no alteraron esta inclinación, y el perfil de progresismo cultural alto (0.748) refuerza la coherencia con OPTION_A.",confianza,"['S171', 'S012', 'S168']","Las señales favorables a OPTION_B (S065, S013, S092) sobre mano dura y ventaja en encuestas no lograron desplazar la posición consolidada, dado que el agente tiene alta orientación cultural progresista y baja vulnerabilidad económica que reduce el atractivo del discurso de autoridad.","Aunque S013 reporta ventaja de OPTION_B en encuestas y S065 genera narrativa de autoridad positiva para OPTION_B, la posición acumulada del agente permanece en OPTION_A. La incertidumbre moderada (0.43) no fue suficiente para revertir la preferencia establecida.","La evidencia del dosier muestra una preferencia sólida y consistente por OPTION_A desde el inicio. El perfil progresista del agente, su confianza moderada en fuentes alternativas e investigativas, y los motivos de memoria más fuertes apuntan a mantener esa elección. Las señales favorables a OPTION_B no alcanzaron a generar un cambio de posición significativo.",vote,medium,False,"['orden', 'esperanza', 'democracia']",progresismo_cultural_participacion,low,False,"La verdad, después de revisar bien la información disponible, mi decisión está clara. No me dejé llevar por el ruido de las redes ni por discursos de mano dura que no me convencen. Voto con convicción por lo que considero más coherente con mis valores.",formal,[],['la verdad'],[],none,0.87,True,False,Anthropic Claude,claude-sonnet-4-6,Cepeda,"La verdad, después de revisar bien la información disponible, mi decisión está clara. No me dejé llevar por el ruido de las redes ni por discursos de mano dura que no me convencen. Voto con convicción por lo que considero más coherente con mis valores.",Bogota_Cundinamarca,Bogota,Bogota,major_or_metropolitan,6,urbano,65_mas,6,formal,5802,673,45,[],True,True,False,Q1 muy baja,Q2 baja,0.7894973642667729,0.13626755926235584,19,1,19,19,mano_dura_protesta,certeza,television,S065,Q2 baja,11,0.6332651199727455,0.21705938639486158,0.4687018787455864,0.009744557029275402,voto,False,Cepeda → Cepeda,OPTION_A,high
9,A00924,Cepeda,0.8433175747144578,0.3239936389637624,0.676280040470868,0.7769453032516743,OPTION_A,0.82,"El estado inicial y heurístico apunta firmemente a OPTION_A con una posición de -1.0 y confianza de 0.84. Las señales negativas sobre OPTION_B (denuncia ante CPI por vínculos paramilitares, S063) refuerzan la desconfianza hacia ese candidato, mientras que las señales sobre OPTION_A, aunque mixtas, no alteran la dirección del voto.",certeza,"['S063', 'S171', 'S204', 'S037']","El ponderador de La Silla Vacía que muestra a OPTION_B con 51% frente a 43% (S039) podría sugerir votar por el candidato con más respaldo, pero este argumento no supera la posición consolidada hacia OPTION_A ni la desconfianza generada por las acusaciones de vínculos paramilitares.","La señal S171 muestra dificultades de OPTION_A para conquistar el centro, lo cual genera algo de presión, pero la posición acumulada es tan sólida (-1.0) que esta señal no logra revertir la decisión. La fatiga es moderada-alta pero la movilización también es alta, lo que compensa.","Con base en el dossier, esta agente mantiene su posición a favor de OPTION_A. La confianza acumulada es alta y las señales negativas sobre OPTION_B, especialmente la denuncia ante la CPI por presuntos vínculos paramilitares, refuerzan esa decisión. Aunque hay señales que muestran dificultades de OPTION_A para ampliar su base, no son suficientes para cambiar el voto.",vote,high,False,"['seguridad', 'paz', 'justicia']",seguridad_vs_paz,low,False,"Mire, yo tengo claro mi voto y no me lo cambia nadie. Vea, las acusaciones sobre vínculos con grupos armados son algo que no puedo ignorar. Mi decisión está tomada con convicción y con la cabeza fría.",everyday,"['vea', 'mire']",['mire'],[],none,0.87,True,False,Anthropic Claude,claude-sonnet-4-6,Cepeda,"Mire, yo tengo claro mi voto y no me lo cambia nadie. Vea, las acusaciones sobre vínculos con grupos armados son algo que no puedo ignorar. Mi decisión está tomada con convicción y con la cabeza fría.",Llanos_Orinoquia,Vichada,Other_Vichada,other_municipality,4,urbano,65_mas,3,everyday,5638,689,37,['mire'],True,False,False,Q2 baja,Q1 muy baja,0.8379811904426141,0.1064470931301812,22,0,19,19,denuncia_paramilitarismo_cpi,certeza,radio,S063,Q1 muy baja,9,0.5471139099071102,0.16088012328636514,0.40551562613733166,0.009987672170230302,voto,False,Cepeda → Cepeda,OPTION_A,very_high
10,A00002,Cepeda,0.6727721561580677,0.48831942866350486,0.6543663684357599,0.7183584826416344,OPTION_A,0.67,"El agente inició y mantuvo su posición en OPTION_A con confianza moderada. La señal S163 refuerza el discurso de anticorrupción y seguridad de OPTION_A, temas alineados con el alto orden_orientation del agente. Aunque varias señales muestran ventaja de OPTION_B en encuestas (S093, S035, S149), estas tienen riesgo de desinformación moderado (0.2) y provienen de fuentes con menor confianza relativa. El position final sigue negativo (-0.999), indicando preferencia sólida por OPTION_A.",movilizacion,"['S163', 'S174', 'S100']","Las encuestas que muestran ventaja de OPTION_B (S093, S035, S149) tienen riesgo de desinformación de 0.2 y el agente tiene source_scepticism moderado. El respaldo de Fenalco a OPTION_B (S026) no es determinante dado el perfil económico del agente.","Las señales favorables a OPTION_B son encuestas con riesgo de desinformación no despreciable. El agente tiene alta scepticismo hacia fuentes oficiales y sociales, y el motif más fuerte en memoria es fake_news_imagenes_falsas, lo que refuerza cautela ante esas señales. La posición final del dossier permanece firmemente en OPTION_A.","Con base en la dieta informativa, el agente mantiene su preferencia por OPTION_A. El discurso de anticorrupción y seguridad resuena con sus valores de orden. Las encuestas que favorecen a OPTION_B tienen riesgo de desinformación moderado y el agente recuerda con fuerza el motivo de noticias falsas en campaña, lo que genera cautela ante esas señales.",vote,medium,False,"['esperanza', 'seguridad', 'corrupción']",anticorrupcion_orden_institucional,low,False,"Parce, yo sí voy a votar por Cepeda, igual el discurso de anticorrupción y seguridad me convence más que unas encuestas que ya vimos que pueden estar manipuladas 🤔. Hombre, toca votar con cabeza fría y no dejarse llevar por el ruido.",colloquial,['hombre'],"['parce', 'igual']",['emoji'],none,0.85,True,False,Anthropic Claude,claude-sonnet-4-6,Cepeda,"Parce, yo sí voy a votar por OPTION_A, igual el discurso de anticorrupción y seguridad me convence más que unas encuestas que ya vimos que pueden estar manipuladas 🤔. Hombre, toca votar con cabeza fría y no dejarse llevar por el ruido.",Antioquia_EjeCafetero,Caldas,Villamaria,major_or_metropolitan,6,urbano,25_34,2,colloquial,5657,765,42,[],True,True,False,Q2 baja,Q4 alta,0.8305041824386236,0.16223297018561725,19,0,18,18,agradecimiento_trump,confianza,television,S061,Q2 baja,10,0.6214100375109397,0.19461685957896735,0.40478019023491907,0.011761844624926077,esperanza,False,Cepeda → Cepeda,OPTION_A,high
